id	jar_of_stock_market_kitchen_garlic_and_fine_herbs	jaune	jus_d_orange	jar_of_white_cheese	jamaican_apices	juniper_berries	jam_of_your_choice	jars_of_dried_tomatoes_depending_on_the_back_size	jar_of_dried_tomatoes	julienne	jar_of_crème_fraîche	just_of_lemon	jelly	jar_of_mayonnaise	juice	jar_of_liquid_cream	jar_of_strawberry_jam	julienne_carrot	julienne_zucchini	jerusalem_artichokes	jar_of_crushed_olives_green	jalapeño_spine__or_not_if_you_like_strongly_spicy_flavors__finely_sliced	jar_of_cucumber_sauce_and_benedicta_garlic	jar_of_sesame_seeds	jar_of_small_asparagus	japanese_rice_vinegar_or_vinegar	jar_of_rolled_blue	jar_of_flour_yogurt	juice_oranges	jar_of_mousseline_apple_compote	jules_destrooper_butter_speculoos	jules_destrooper_speculoos_spread
2029	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2030	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2086	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	orange_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0
2307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2331	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
2431	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0
2558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S
