id	madeleines_mileuses_extra_ker_cad_élac	mill	mint	minced_tuna_box_with_extra_virgin_olive_oil__saupiquet_	monkfish_pieces	mushrooms_cut_into_strips	market	ml_of_coconut_milk	ml_of_rice_milk	ml_of_hose_nectar	marinade_	mango	mint_leaves	mill_pepper	medium_paris_mushrooms	maroilles	mark	mayonnaise	mills_in_mill	musles_in_half_sphere	mandarins	moulin_bays	mustard	mamigoz_orange_oil	mini_tomatoes_in_clusters	mesclun_salad	mimolette_slices	muscade_pepper_salt	ml_of_liquid_cream	ml_of_ribot_milk	muscat_and_italia_grape_seeds	make_a_shortcrust_pastry_or_buy_it	marjoram	mangoes	melon	marinade__	ml_of_milk	marsh	milk_chocolate	means_	mineral_water	merguez	milk_cream	mint_either_fresh_or_dry	medium_potato	mint_rod	macarons	mustard_tablespoon	ml_of_coulis_de_tomate_passata	merlu_cobblestones	mango_strips	medium_sized_potatoes	minced_average_onions	madras_curry	ml_of_fresh_cream	mesclun	maggi_aroma_line	ml_of_white_wine	ml_of_coconut_cream	medium_sized_raw_prawns	medium_lawyers	medium_tomatoes_seeded_and_diced	madeleines	mango_slices	mango_cut_in_dice	monkfish_tails	monkfish	mini_courgettes	minced_shallots	mushroom	ml_d_huile_d_olive	ml_of_sunflower_oil	medium_scallops	mini_snickers__a_red_pepper__salt_and_pepper	marinade	ml_of_cider	ml_of_balsamic_vinegar	ml_of_soy_sauce	ml_the_juice_the_orange	mexican_spice	ml_of_sugar	ml_of_white_vinegar_or_alcohol_vinegar_or_rice_vinegar	ml_to_dilute_cornstarch_	ml_of_poultry_broth	ml_of_sour_cream_or_sure_cream	mm	medium_onion	maroilles_boxes	montb_éliard_sausage	mushrooms	mozzarella_balls	ml_of_natural_soy_cream	medium_potatoes	ml_poultry_background	ml_of_squash_seed_oil	ml_of_neutral_oil	ml_of_rum	ml_of_vegetable_oil	mirabellers	ml_of_water	ml_de_cognac	mycrio_butter__cryogenized_cocoa_butter_	muffins_complets	madeira_wine	minced_steaks	ml_of_soy_cream	medium_sized_fleshy_zucchini	ml_of_skimmed_milk	mild_red_pepper	mm_thick	mini_courgette	mustard_sweet_amora	marinated_artichoke_hearts	morteau_sausage	material	mold_divide_heart_imprint	marinated_anchovy_net	medium_sized_potato	medium_sized_parsnip	milk_and_cream	mixed_garlic_cloves	mature_lawyers	mg_de_stevia	mimosas_au_sucre_candi	marquise_bust__is_in_certain_specialized_stores_	ml	molded_arabic_gum	melted_clarified_butter	medium_sized_eggplant	ml_	ml_of_fresh_lemon_juice	mozzarella	milk_to_brown	morille	ml_of_warm_milk	medium_sized_avocado__pitted__peeled_and_cut_into_pieces	mackerel	mackerel_nets	mackerel_fillets_in_nets	mesclun_salad_bag	mozarella	melon_transformed_into_dumplings	mushroom__optional_	mixture_of_herbs__thyme__sage__parsley__	medium_sized_firm_potatoes	montb_éliard_sausages_and_toulouse_sausages	mixer	mild_green_pepper	mimolette_or_other_sliced_cheese	mayonnaise_pot	ml_of_soy_milk	mozzarella_or_grated_gruyèreère	mint_boot	ml_of_vin_blanc_sec	mixed_onions	mettled_butter_for_the_pan	mushroom_duxelles_to_stuff	morels__rehydrate_them_if_you_use_dryers_	mushroom_broth	medium_tomatoes	mascarpone_cup	milestone_potatoes	minutes_in_boiling_salted_and_drained_water	maggi_cup_chew_bouillon_mushrooms	mignon_pork_net_fillet	madeira	ml_of_whole_liquid_cream	medium_sized_zucchini__to_avoid_seeds	minced_meat	meat__leftovers_	mint_leaf	mini_leeks	metal_colander	mussel	mandarins_or_clementines	medium_sized_celery_rave	minis_pastry	ml_of_thick_soybean_sauce	mustard_leaves	medium_sized_paris_mushrooms	medium_sized_potatoes__charlotte_or_bintje_	mini_potatoes	mild_onion	moutarde_forte_amora	medium_sized_firm_pulpit_potatoes	ml_of_hen_broth	ml_of_virgin_olive_oil	ml_of_cream	ml_of_b_échamel	mettled_oil_or_butter	medium_leeks	ml_of_cold_water	ml_of_mayonnaise	medium_sized_zucchini	magret	magret_dried_with_espelette_pepper__or_smoked_	ml_of_halfskimmed_milk	marinated_peppers	mustard_seeds	ml_of_whipping_cream	ml_of_grilled_sesame_oil	ml_raspberry_vinegar	mackerel_emptied_and_stuck	mackerel_nets_without_stops	ml_of_grapeed_seed_oil	mascarpone_box	medium_caliber_mackerel	mackerel_per_person	mackerel_net_nets	mackerels_raised_in_nets	minced_basil_leaves	mint_and_coriander_fresh_herbs	may_suffice_
81	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1_divide_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
