id	canned_small_ships_of_grilled_eggplant_mackerel_cooked_with_herbs	c_from_zaatar	chopped_fresh_basil_leaves	cs_huile_olive	cto_cnutmeg	chicken_nuggets	cc_of_garlic_and_herbs_cheese	cl_fresh_cream_or_milk	chili_powder	cl_de_cumin	cl_briquettes_soy	cto_ccurry	cucumber__pel_é	crushed_garlic_cloves	cl_of_extra_virgin_olive_oil	cl_of_freshly_grated	cl_de_walnuts	creamy_yogurt	courtbouillon_cube	c_a_c_de_curry	cto_cgrated_ginger	cl_of_thick_cream_or_b_échamel	cups_of_berries	cl_if_using_yellow_wine_	cl_of_yellow_wine__optional_and_for_a_royal_fondue__	cl_the_cherries	cto_sfine_and_strong_mustard_bomot_é__s__amora	crust_bread	crisp_bread	cl_of_sparkling_savoy_white__ayses_	cl_of_life	cl_of_light_whipping_cream_she__and__vire	chopped_small_onion	cl_of_light_thick_cream_elle__and__vire	cto_smadeira_wine	c_to_s_of_chopped_basil	cooked_pink_shrimp__peeled	chopped_fresh_basil	clove_of_garlic_peeled_and_finely_chopped	cl_cream_frames	cl_of_olive_olive_classic_olives
2539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
2539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
2541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
2541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
2545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0
2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
